,taxon_name_w_authors,v10_11_12_13_14_15_accepted_name_w_author,v16_taxon_name_w_authors,v16_chained_accepted_name_w_author,v16_chained_accepted_species,v16_direct_accepted_name_w_author,v16_direct_accepted_species
5713,Orchis cassidea M.Bieb.,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis fragrans (Pollini) R.M.Bateman,Anacamptis fragrans
5746,Lankesteriana Karremans,Anathallis Barb.Rodr.,Anathallis Barb.Rodr.,Anathallis Barb.Rodr.,,Lankesteriana Karremans,
5872,Angophora lanceolata var. angustifolia A.Gray,Angophora bakeri E.C.Hall,Angophora bakeri E.C.Hall,Angophora bakeri E.C.Hall,Angophora bakeri,Angophora bakeri subsp. bakeri,Angophora bakeri
5873,Metrosideros apocynifolia Salisb.,Angophora costata (Gaertn.) Britten,Angophora costata (Gaertn.) Britten,Angophora costata (Gaertn.) Britten,Angophora costata,Angophora costata subsp. costata,Angophora costata
5874,Eucalyptus apocynifolia (Salisb.) Brooker,Angophora costata (Gaertn.) Britten,Angophora costata (Gaertn.) Britten,Angophora costata (Gaertn.) Britten,Angophora costata,Angophora costata subsp. costata,Angophora costata
5876,Angophora lanceolata var. hispida A.Cunn. ex A.Gray,Angophora costata (Gaertn.) Britten,Angophora costata (Gaertn.) Britten,Angophora costata (Gaertn.) Britten,Angophora costata,Angophora costata subsp. costata,Angophora costata
6067,Angraecum longinode Frapp. ex Cordem.,Angraecum patens Frapp. ex Cordem.,Angraecum patens Frapp. ex Cordem.,Angraecum patens Frapp. ex Cordem.,Angraecum patens,Angraecum costatum Frapp. ex Cordem.,Angraecum costatum
6247,Mystacidium spicatum Cordem.,Angraecum tenellum (Ridl.) Schltr.,Angraecum tenellum (Ridl.) Schltr.,Angraecum tenellum (Ridl.) Schltr.,Angraecum tenellum,Angraecum parvulum Ayres ex S.Moore,Angraecum parvulum
6501,Anthurium macdougallii Matuda,Anthurium andicola Liebm.,Anthurium andicola Liebm.,Anthurium andicola Liebm.,Anthurium andicola,Anthurium macdougallii Matuda,Anthurium macdougallii
7470,Renistipula Borhidi,Arachnothryx Planch.,Arachnothryx Planch.,Arachnothryx Planch.,,Renistipula Borhidi,
8530,Asperula saxatilis Lam.,Cynanchica nitida subsp. nitida,Cynanchica nitida subsp. nitida,Cynanchica nitida subsp. nitida,Cynanchica nitida,Cynanchica pyrenaica subsp. cynanchica (L.) P.Caputo & Del Guacchio,Cynanchica pyrenaica
8581,Conoria Juss.,Aspidosperma Mart. & Zucc.,Aspidosperma Mart. & Zucc.,Aspidosperma Mart. & Zucc.,,Rinorea Aubl.,
8596,Aspidosperma quirandy Hassl.,Aspidosperma australe Müll.Arg.,Aspidosperma australe Müll.Arg.,Aspidosperma australe Müll.Arg.,Aspidosperma australe,Aspidosperma quirandy Hassl.,Aspidosperma quirandy
8621,Aspidosperma marcgravianum Woodson,Aspidosperma excelsum Benth.,Aspidosperma excelsum Benth.,Aspidosperma excelsum Benth.,Aspidosperma excelsum,Aspidosperma marcgravianum Woodson,Aspidosperma marcgravianum
8823,Attalea camposportoana Burret,Attalea exigua Drude,Attalea exigua Drude,Attalea exigua Drude,Attalea exigua,Attalea compta Mart.,Attalea compta
8833,Attalea gomphococca Mart.,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea,Attalea phalerata Mart. ex Spreng.,Attalea phalerata
8834,Scheelea gomphococca (Mart.) Burret,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea,Attalea phalerata Mart. ex Spreng.,Attalea phalerata
8839,Attalea pycnocarpa Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea,Attalea sagotii (Trail ex Thurn) Wess.Boer,Attalea sagotii
8871,Attalea phalerata var. concinna L.R.Moreno & O.I.Moreno,Attalea phalerata Mart. ex Spreng.,Attalea phalerata Mart. ex Spreng.,Attalea phalerata Mart. ex Spreng.,Attalea phalerata,Attalea cephalotus Poepp. ex Mart.,Attalea cephalotus
8877,Scheelea leandroana Barb.Rodr.,Attalea phalerata Mart. ex Spreng.,Attalea phalerata Mart. ex Spreng.,Attalea phalerata Mart. ex Spreng.,Attalea phalerata,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea
9306,Baissea laxiflora Stapf,Baissea multiflora A.DC.,Baissea multiflora A.DC.,Baissea multiflora A.DC.,Baissea multiflora,Baissea laxiflora Stapf,Baissea laxiflora
9307,Baissea thollonii Hua,Baissea multiflora A.DC.,Baissea multiflora A.DC.,Baissea multiflora A.DC.,Baissea multiflora,Baissea laxiflora Stapf,Baissea laxiflora
9384,Ballota nigra var. meridionalis Bég.,Ballota nigra subsp. nigra,Ballota nigra subsp. nigra,Ballota nigra subsp. nigra,Ballota nigra,Ballota nigra subsp. meridionalis (Bég.) Bég.,Ballota nigra
9385,Ballota nigra subsp. meridionalis (Bég.) Bég.,Ballota nigra subsp. nigra,Ballota nigra subsp. nigra,Ballota nigra subsp. nigra,Ballota nigra,Ballota nigra subsp. meridionalis (Bég.) Bég.,Ballota nigra
9510,Elaeagia glomiflora Standl.,Bathysa australis (A.St.-Hil.) K.Schum.,Bathysa australis (A.St.-Hil.) K.Schum.,Bathysa australis (A.St.-Hil.) K.Schum.,Bathysa australis,Bathysa mollis (Rusby) C.M.Taylor & Mald.,Bathysa mollis
9512,Elaeagia mollis Rusby,Bathysa australis (A.St.-Hil.) K.Schum.,Bathysa australis (A.St.-Hil.) K.Schum.,Bathysa australis (A.St.-Hil.) K.Schum.,Bathysa australis,Bathysa mollis (Rusby) C.M.Taylor & Mald.,Bathysa mollis
9577,Habenaria secundiflora Cordem.,Benthamia erinacea (Cordem.) Hermans & P.J.Cribb,Benthamia erinacea (Cordem.) Hermans & P.J.Cribb,Benthamia erinacea (Cordem.) Hermans & P.J.Cribb,Benthamia erinacea,Benthamia erinacea f. erinacea,Benthamia erinacea
9579,Benthamia nigrescens subsp. borbonica H.Perrier,Benthamia erinacea (Cordem.) Hermans & P.J.Cribb,Benthamia erinacea (Cordem.) Hermans & P.J.Cribb,Benthamia erinacea (Cordem.) Hermans & P.J.Cribb,Benthamia erinacea,Benthamia erinacea f. erinacea,Benthamia erinacea
9580,Benthamia nigrescens subsp. decaryana H.Perrier,Benthamia erinacea (Cordem.) Hermans & P.J.Cribb,Benthamia erinacea (Cordem.) Hermans & P.J.Cribb,Benthamia erinacea (Cordem.) Hermans & P.J.Cribb,Benthamia erinacea,Benthamia erinacea f. erinacea,Benthamia erinacea
9582,Benthamia nigrescens subsp. humblotiana H.Perrier,Benthamia erinacea (Cordem.) Hermans & P.J.Cribb,Benthamia erinacea (Cordem.) Hermans & P.J.Cribb,Benthamia erinacea (Cordem.) Hermans & P.J.Cribb,Benthamia erinacea,Benthamia erinacea f. erinacea,Benthamia erinacea
9583,Benthamia nigrescens subsp. secundiflora H.Perrier,Benthamia erinacea (Cordem.) Hermans & P.J.Cribb,Benthamia erinacea (Cordem.) Hermans & P.J.Cribb,Benthamia erinacea (Cordem.) Hermans & P.J.Cribb,Benthamia erinacea,Benthamia erinacea f. erinacea,Benthamia erinacea
9584,Benthamia nigrescens subsp. typica H.Perrier,Benthamia erinacea (Cordem.) Hermans & P.J.Cribb,Benthamia erinacea (Cordem.) Hermans & P.J.Cribb,Benthamia erinacea (Cordem.) Hermans & P.J.Cribb,Benthamia erinacea,Benthamia erinacea f. erinacea,Benthamia erinacea
10076,Betula pubescens f. helvola Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10079,Betula pubescens f. falcata Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10080,Betula pubescens f. latisquama Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10081,Betula pubescens f. obtusata Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10082,Betula pubescens f. barbara Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10083,Betula pubescens f. submontana Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10084,Betula pubescens f. nemoralis Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10085,Betula pubescens f. nemorosa Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10086,Betula pubescens f. auriculata Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10088,Betula pubescens f. mellifera Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10089,Betula pubescens f. dumetorum Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10090,Betula pubescens f. parallela Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10091,Betula pubescens f. stenocarpa Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10092,Betula pubescens f. curtipendula Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10093,Betula pubescens f. torminalis Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10094,Betula pubescens f. turgida Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10095,Betula pubescens f. amoena Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10096,Betula pubescens f. ludens Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10097,Betula pubescens f. depressa Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10098,Betula pubescens f. suberecta Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10099,Betula pubescens f. horrida Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10100,Betula pubescens f. hirsuta Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10101,Betula pubescens f. populifomis Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10102,Betula pubescens f. cordata Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10103,Betula pubescens f. reticulata Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
10490,Bletia jucunda Linden & Rchb.f.,Bletia reflexa Lindl.,Bletia reflexa Lindl.,Bletia reflexa Lindl.,Bletia reflexa,Bletia jucunda Linden & Rchb.f.,Bletia jucunda
11115,Bruxanelia Dennst.,Blachia Baill.,Blachia Baill.,Blachia Baill.,,Ehretia P.Browne,
11689,Cirrhopetalum wallichii J.Graham,Bulbophyllum fibratum (Gagnep.) Seidenf.,Bulbophyllum fibratum (Gagnep.) Seidenf.,Bulbophyllum fibratum (Gagnep.) Seidenf.,Bulbophyllum fibratum,Bulbophyllum fimbriatum (Lindl.) Rchb.f.,Bulbophyllum fimbriatum
12159,"Bulbophyllum paramjitii Agrawala, Sharief & B.K.Singh",Bulbophyllum moniliforme C.S.P.Parish & Rchb.f.,Bulbophyllum moniliforme C.S.P.Parish & Rchb.f.,Bulbophyllum moniliforme C.S.P.Parish & Rchb.f.,Bulbophyllum moniliforme,"Bulbophyllum jejosephii J.J.Verm., Schuit. & de Vogel",Bulbophyllum jejosephii
12163,Trias pusilla J.Joseph & H.Deka,Bulbophyllum moniliforme C.S.P.Parish & Rchb.f.,Bulbophyllum moniliforme C.S.P.Parish & Rchb.f.,Bulbophyllum moniliforme C.S.P.Parish & Rchb.f.,Bulbophyllum moniliforme,"Bulbophyllum jejosephii J.J.Verm., Schuit. & de Vogel",Bulbophyllum jejosephii
13333,Phyllotaenium André,Caladium Vent.,Caladium Vent.,Caladium Vent.,,Phyllotaenium André,
13774,"Calamus pachypus W.J.Baker, Bayton, J.Dransf. & Maturb.",Calamus vitiensis Warb. ex Becc.,Calamus vitiensis Warb. ex Becc.,Calamus vitiensis Warb. ex Becc.,Calamus vitiensis,"Calamus pachypus W.J.Baker, Bayton, J.Dransf. & Maturb.",Calamus pachypus
14034,Calanthe candida Bosser,Calanthe sylvatica (Thouars) Lindl.,Calanthe sylvatica (Thouars) Lindl.,Calanthe sylvatica (Thouars) Lindl.,Calanthe sylvatica,Calanthe candida Bosser,Calanthe candida
14077,Calanthe nephroglossa Schltr.,Calanthe triplicata (Willemet) Ames,Calanthe triplicata (Willemet) Ames,Calanthe triplicata (Willemet) Ames,Calanthe triplicata,Calanthe nephroglossa Schltr.,Calanthe nephroglossa
14467,Callitriche palustris var. bifida L.,Callitriche hermaphroditica subsp. hermaphroditica,Callitriche hermaphroditica subsp. hermaphroditica,Callitriche hermaphroditica subsp. hermaphroditica,Callitriche hermaphroditica,Callitriche palustris subsp. palustris,Callitriche palustris
14492,Callitriche capricorni R.Mason,Callitriche sonderi Hegelm.,Callitriche sonderi Hegelm.,Callitriche sonderi Hegelm.,Callitriche sonderi,Callitriche capricorni R.Mason,Callitriche capricorni
14836,Martiusella Pierre,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Martiusella Pierre,
14848,Ragala Pierre,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Ragala Pierre,
14850,Chloroluma Baill.,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Chloroluma Baill.,
14965,Caperonia hystrix Pax & K.Hoffm.,Caperonia linearifolia A.St.-Hil.,Caperonia linearifolia A.St.-Hil.,Caperonia linearifolia A.St.-Hil.,Caperonia linearifolia,Caperonia hystrix Pax & K.Hoffm.,Caperonia hystrix
15423,Gilipus Raf.,Cephalanthus L.,Cephalanthus L.,Cephalanthus L.,,Myrica L.,
16298,Cercestis lanceolatus Engl.,Cercestis ivorensis A.Chev.,Cercestis ivorensis A.Chev.,Cercestis ivorensis A.Chev.,Cercestis ivorensis,Cercestis kamerunianus (Engl.) N.E.Br.,Cercestis kamerunianus
16822,Cheirostylis taichungensis S.S.Ying,Cheirostylis monteiroi S.Y.Hu & Barretto,Cheirostylis monteiroi S.Y.Hu & Barretto,Cheirostylis monteiroi S.Y.Hu & Barretto,Cheirostylis monteiroi,Cheirostylis monteiroi var. monteiroi,Cheirostylis monteiroi
16831,Cheirostylis pabongensis Lucksom,Cheirostylis yunnanensis Rolfe,Cheirostylis yunnanensis Rolfe,Cheirostylis yunnanensis Rolfe,Cheirostylis yunnanensis,Cheirostylis yunnanensis var. yunnanensis,Cheirostylis yunnanensis
16833,Cheirostylis munnacampensis A.N.Rao,Cheirostylis yunnanensis Rolfe,Cheirostylis yunnanensis Rolfe,Cheirostylis yunnanensis Rolfe,Cheirostylis yunnanensis,Cheirostylis yunnanensis var. yunnanensis,Cheirostylis yunnanensis
16834,Cheirostylis josephi Schltr.,Cheirostylis yunnanensis Rolfe,Cheirostylis yunnanensis Rolfe,Cheirostylis yunnanensis Rolfe,Cheirostylis yunnanensis,Cheirostylis yunnanensis var. yunnanensis,Cheirostylis yunnanensis
16888,Chilocarpus malabaricus Bedd.,Chilocarpus denudatus Blume,Chilocarpus denudatus Blume,Chilocarpus denudatus Blume,Chilocarpus denudatus,Chilocarpus malabaricus Bedd.,Chilocarpus malabaricus
16988,Chiropetalum lineatum Klotzsch,Chiropetalum tricoccum (Vell.) Chodat & Hassl.,Chiropetalum tricoccum (Vell.) Chodat & Hassl.,Chiropetalum tricoccum (Vell.) Chodat & Hassl.,Chiropetalum tricoccum,Chiropetalum latifolium (Chodat & Hassl.) J.Külkamp,Chiropetalum latifolium
16991,Chiropetalum tricoccum f. latifolium Chodat & Hassl.,Chiropetalum tricoccum (Vell.) Chodat & Hassl.,Chiropetalum tricoccum (Vell.) Chodat & Hassl.,Chiropetalum tricoccum (Vell.) Chodat & Hassl.,Chiropetalum tricoccum,Chiropetalum latifolium (Chodat & Hassl.) J.Külkamp,Chiropetalum latifolium
17167,Prieurella Pierre,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Prieurella Pierre,
17220,Achrouteria Eyma,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Achrouteria Eyma,
17240,Cornuella Pierre,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Cornuella Pierre,
17243,Fibrocentrum Pierre ex Glaziou,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Chloroluma Baill.,
17681,Sarcanthus termissus Rchb.f.,Cleisostoma discolor Lindl.,Cleisostoma discolor Lindl.,Cleisostoma discolor Lindl.,Cleisostoma discolor,Cleisostoma termissum (Rchb.f.) Garay,Cleisostoma termissum
17683,Sarcanthus josephi J.J.Sm.,Cleisostoma discolor Lindl.,Cleisostoma discolor Lindl.,Cleisostoma discolor Lindl.,Cleisostoma discolor,Cleisostoma termissum (Rchb.f.) Garay,Cleisostoma termissum
17685,Sarcanthus auriculatus Rolfe,Cleisostoma discolor Lindl.,Cleisostoma discolor Lindl.,Cleisostoma discolor Lindl.,Cleisostoma discolor,Cleisostoma termissum (Rchb.f.) Garay,Cleisostoma termissum
17686,Sarcanthus angkorensis Guillaumin,Cleisostoma discolor Lindl.,Cleisostoma discolor Lindl.,Cleisostoma discolor Lindl.,Cleisostoma discolor,Cleisostoma termissum (Rchb.f.) Garay,Cleisostoma termissum
17697,Sarcanthus flagellaris Schltr.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum,Cleisostoma fuerstenbergianum var. fuerstenbergianum,Cleisostoma fuerstenbergianum
17698,Cleisostoma flagellare (Schltr.) Garay,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum,Cleisostoma fuerstenbergianum var. fuerstenbergianum,Cleisostoma fuerstenbergianum
17699,Sarcanthus flagelliformis Rolfe ex Downie,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum,Cleisostoma fuerstenbergianum var. fuerstenbergianum,Cleisostoma fuerstenbergianum
17700,Cleisostoma flagelliforme (Rolfe ex Downie) Garay,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum,Cleisostoma fuerstenbergianum var. fuerstenbergianum,Cleisostoma fuerstenbergianum
17702,Cleisostoma crucicallum (Burkill) Garay,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum,Cleisostoma fuerstenbergianum var. fuerstenbergianum,Cleisostoma fuerstenbergianum
17703,Sarcanthus geoffrayi Guillaumin,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum,Cleisostoma fuerstenbergianum var. fuerstenbergianum,Cleisostoma fuerstenbergianum
17704,Sarcanthus crucicallus (Burkill) Seidenf. & Smitinand,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum,Cleisostoma fuerstenbergianum var. fuerstenbergianum,Cleisostoma fuerstenbergianum
17705,Saccolabium crucicallus Burkill,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum,Cleisostoma fuerstenbergianum var. fuerstenbergianum,Cleisostoma fuerstenbergianum
18020,Clerodendrum capitatum var. conglobatum (Baker) B.Thomas,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum,Clerodendrum capitatum var. capitatum,Clerodendrum capitatum
18022,Clerodendrum capitatum var. talbotii (Wernham) B.Thomas,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum,Clerodendrum capitatum var. capitatum,Clerodendrum capitatum
18023,Clerodendrum conglobatum Baker,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum,Clerodendrum capitatum var. capitatum,Clerodendrum capitatum
18024,Clerodendrum capitatum Hook.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum,Clerodendrum capitatum var. capitatum,Clerodendrum capitatum
18026,Clerodendrum whitfieldii Seem.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum,Clerodendrum capitatum var. capitatum,Clerodendrum capitatum
18027,Clerodendrum talbotii Wernham,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum,Clerodendrum capitatum var. capitatum,Clerodendrum capitatum
18028,Clerodendrum obanense Wernham,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum,Clerodendrum capitatum var. capitatum,Clerodendrum capitatum
18030,Siphonanthus conglobatus (Baker) Hiern,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum,Clerodendrum capitatum var. capitatum,Clerodendrum capitatum
